,地址,店名
141,新北市新莊區昌隆街83號,玩具e哥：新莊昌隆店
142,新北市新莊區幸福路40號,統一超商：思源
143,新北市新莊區中正路895號895號之1,統一超商：迴龍站
144,新北市淡水區義山路二段303號1樓,FUNBOX：美麗新淡海影城周邊商品販售中
145,新北市淡水區中正路159號,FUNBOX：淡水中正周邊商品販售中
146,新北市淡水區中正路一段2號,FUNBOX：禮萊廣場周邊商品販售中
147,新北市淡水區英專路93號,統一超商：英專
148,新北市淡水區義山路二段303號B棟1樓(toypark),其曜玩具：美麗新淡海影城
149,新北市淡水區新春街142號1樓,統一超商：新春
150,新北市樹林區保安里樹新路40之6號4樓,FUNBOX：樹林秀泰周邊商品販售中
151,新北市樹林區大安路118號,FUNBOX：樹林家樂福周邊商品販售中
152,新北市樹林區博愛街89號2樓,TOYWORLD：樹林博愛店周邊商品販售中
153,新北市樹林區大安路118號2F,家樂福：樹林店
154,新北市樹林區中正路222號,統一超商：樹龍
155,新北市樹林區中山路一段48號,微學館：樹林店
156,新北市樹林區博愛街89號2樓,老虎歡樂世界：樹林店
157,新北市樹林區光華街2、4號,統一超商：武林
158,新北市樹林區八德街321號,玩巨帝國：樹林店
159,新北市樹林區中山路三段209-1號,統一超商：佳政
160,新北市樹林區中正路438號,統一超商：樹躍
161,新北市林口區文化三路一段356號2樓,GSE：林口三井
162,新北市林口區中正路86號,文聖書局：林口
163,新北市林口區中正路90號92號1樓,統一超商：新林口
164,新北市林口區文化三路一段356號2樓,TOYWORLD：林口三井周邊商品販售中
165,新北市林口區湖南村8鄰頭湖70-9號,統一超商：貝比
166,新北市林口區仁愛路二段510號1樓,統一超商：遠來
167,新北市林口區文化三路二段283號,統一超商：未央
168,新北市林口區文化三路二段156號,統一超商：榮曜
169,新北市板橋區縣民大道二段7號2樓,TOYWORLD：板橋環球店周邊商品販售中
170,新北市板橋區文化路一段360號B1,玩具e哥：板橋新埔店
171,新北市板橋區大觀路三段236號B1,金玉堂：大觀店
172,新北市板橋區金門街175號,統一超商：金園
173,新北市板橋區漢生東路309號,統一超商：漢東
174,新北市板橋區懷德街203.205號,統一超商：懷翠
175,新北市板橋區貴興路101號,愛買：南雅店
176,新北市板橋區中山路一段152號8樓,鼎美玩具：板橋遠東周邊商品販售中
177,新北市板橋區新站路28號5樓,FUNBOX：板橋大遠百周邊商品販售中
178,新北市板橋區合宜路151號1樓,統一超商：大合宜
179,新北市板橋區德興街20、22、24號,統一超商：興板
180,新北市板橋區南雅南路二段144巷14號1樓,統一超商：秋雅
181,新北市板橋區文化路1段419-5號1樓,統一超商：埔西
182,新北市板橋區裕民街53、55號,統一超商：吉翠
183,新北市板橋區民生路二段237號1樓,統一超商：埔站
184,新北市板橋區永豐街173號,統一超商：戰國
185,新北市板橋區溪北路43號1樓,統一超商：樹溪
186,新北市板橋區文化路1段393號1樓,統一超商：埔西
187,新北市板橋區華東街270號1樓,統一超商：華雅
